"Introduction of different types of innovation, by industry and enterprise size" 1 2
"Occasional"
"Table: 27-10-0361-01"
"Geography: Canada, Geographical region of Canada, Province or territory"

"","Canada",,,
"","Total, all enterprise sizes",,,
"","2017 / 2019",,,
"North American Industry Classification System (NAICS)","Innovative","Product (good or service) innovation","Business process innovation","Non-innovative"
"","Percent",,,
"Total, all surveyed industries 4","79.8A","52.7A","72.7A","20.2A"
"Agriculture, forestry, fishing and hunting","65.4B","30.6B","60.5B","34.6B"
"Mining, quarrying, and oil and gas extraction","69.4B","37.2B","63.5B","30.6B"
"Oil and gas extraction","77.0B","19.6B","74.7B","23.0B"
"Mining and quarrying (except oil and gas)","68.5B","29.4B","63.0B","31.5B"
"Support activities for mining and oil and gas extraction","68.1B","44.0B","61.1B","31.9B"
"Utilities","70.7A","38.9A","67.6A","29.3A"
"Construction","76.0B","43.2B","69.0B","24.0B"
"Manufacturing","82.1A","58.8A","75.9A","17.9A"
"Food manufacturing","75.3B","54.4B","70.2B","24.7B"
"Beverage and tobacco product manufacturing","92.6A","68.1B","88.3A","7.4A"
"Textile and textile product mills, clothing and leather and allied product manufacturing 5","68.2B","49.0B","64.7B","31.8B"
"Wood product manufacturing","73.4B","36.3B","70.6B","26.6B"
"Paper manufacturing","71.1B","49.3B","66.2B","28.9B"
"Printing and related support activities","77.0B","54.2B","72.0B","23.0B"
"Petroleum and coal product manufacturing","73.9B","54.2B","66.3B","26.1B"
"Chemical manufacturing","81.7B","70.9B","76.6B","18.3B"
"Pharmaceutical and medicine manufacturing","89.4B","75.8B","77.8B","10.6B"
"All other chemical manufacturing 6","79.7B","69.6B","76.3B","20.3B"
"Plastics and rubber products manufacturing","89.1B","63.2B","83.8B","10.9B"
"Plastic product manufacturing","89.4B","62.3B","85.4B","10.6B"
"Motor vehicle plastic parts manufacturing","89.1B","57.5B","85.8B","10.9B"
"All other plastic product manufacturing 7","89.4B","62.6B","85.4B","10.6B"
"Rubber product manufacturing","86.7B","70.7B","70.5B","13.3B"
"Non-metallic mineral product manufacturing","80.7B","47.9B","74.2B","19.3B"
"Primary metal manufacturing","73.1B","39.1B","69.8B","26.9B"
"Fabricated metal product manufacturing","75.2B","47.2B","67.8B","24.8B"
"Machinery manufacturing","96.1A","77.4B","88.4B","3.9A"
"Computer and electronic product manufacturing","94.6A","82.0B","85.6B","5.4A"
"Computer and peripheral equipment manufacturing and communications equipment manufacturing 8","93.1B","75.9B","78.3B","6.9B"
"Semiconductor and other electronic component manufacturing","87.9B","67.9B","85.2B","12.1B"
"Navigational, measuring, medical and control instruments manufacturing","99.2A","93.1B","89.6B","0.8A"
"Audio and visual equipment manufacturing and manufacturing and reproducing magnetic and optical media 9","100.0A","90.0B","86.6B","0.0E"
"Electrical equipment, appliance and component manufacturing","89.7B","69.8B","79.0B","10.3B"
"Transportation equipment manufacturing","81.1A","58.7B","74.4B","18.9A"
"Motor vehicle and motor vehicle body and trailer manufacturing 10","83.1B","70.6B","72.8B","16.9B"
"Motor vehicle parts manufacturing","79.7B","52.7B","76.3B","20.3B"
"Aerospace product and parts manufacturing","88.5A","57.1B","78.9B","11.5A"
"All other transportation equipment manufacturing 11","72.9B","53.4B","67.8B","27.1B"
"Furniture and related product manufacturing","87.2B","71.6B","78.0B","12.8B"
"Miscellaneous manufacturing","91.2A","65.5B","85.5B","8.8A"
"Medical equipment and supplies manufacturing","98.4A","79.0B","96.5A","1.6A"
"Other miscellaneous manufacturing","87.6B","58.8E","80.1B","12.4B"
"Total, selected services industries 12","81.1A","55.1A","73.7A","18.9A"
"Wholesale trade","83.3A","57.8A","77.8A","16.7A"
"Farm product merchant wholesalers","86.9B","55.0B","73.2B","13.1B"
"Petroleum and petroleum products merchant wholesalers","74.7B","34.0B","70.9B","25.3B"
"Food, beverage and tobacco merchant wholesalers","71.3B","40.1B","69.3B","28.7B"
"Personal and household goods merchant wholesalers","91.2B","68.1B","84.4B","8.8B"
"Pharmaceuticals, toiletries, cosmetics and sundries merchant wholesalers","96.6A","82.5B","80.8B","3.4A"
