"Most critical government program for the business's innovation activities, by industry and enterprise size"
"Occasional"
"Table: 27-10-0280-01 (formerly CANSIM 358-0606)"
"Geography: Canada, Geographical region of Canada, Province or territory"

"","Canada",,,,
"","Total, all enterprise sizes",,,,
"","2017 / 2019",,,,
"North American Industry Classification System (NAICS)","Government tax incentive or tax credit programs, most critical","Government grants and contributions programs, most critical","Government training and hiring programs, most critical","Government procurement, most critical","Other government programs, most critical"
"","Percent",,,,
"Total, all surveyed industries 2","33.3A","21.4A","38.3A","3.4A","3.7A"
"Agriculture, forestry, fishing and hunting","23.1B","48.8E","12.1B","6.4B","9.5B"
"Mining, quarrying, and oil and gas extraction","41.1B","27.3B","22.4B","4.2A","5.0B"
"Utilities","19.8B","61.9B","16.3A","0.0E","2.0A"
"Construction","6.7B","12.7B","68.8E","7.6B","4.2B"
"Manufacturing","46.1A","27.7A","21.1A","1.8A","3.3A"
"Total, selected services industries 3","33.2A","16.3A","44.4B","2.9A","3.1A"
"Wholesale trade","31.6B","23.3B","33.9B","5.0A","6.3A"
"Retail trade","9.4B","7.2B","79.5B","2.9B","1.0A"
"Transportation and warehousing","18.0B","23.9B","46.4B","4.9A","6.7A"
"All transportation 4","15.5B","26.0B","46.2B","5.1B","7.1A"
"Postal services, couriers and messengers, warehousing and storage 5","39.7E","5.8A","47.9E","3.3A","3.3A"
"Information and cultural industries","63.5B","18.1A","13.9B","3.1A","1.5A"
"Finance and insurance excluding monetary authorities 6","32.6C","8.1C","53.4C","1.7B","4.2B"
"Real estate and rental and leasing","27.1E","49.9E","20.9B","1.2A","0.9A"
"Professional, scientific and technical services","54.0B","15.1B","27.2B","2.0A","1.7A"
"Management of companies and enterprises","32.6B","13.9B","47.8B","0.0E","5.7A"
"Administrative and support, waste management and remediation services","19.1E","11.1B","62.3E","1.6A","5.8B"

Symbol legend:
E,use with caution,
A,data quality: excellent,
B,data quality: very good,
C,data quality: good,

Footnotes:
1,Regional distribution by size of enterprise is not available.
2,"Includes North American Industry Classification System (NAICS) codes 11, 21, 22, 23, 31-33, 41, 44-45, 48-49, 51, 52, 53, 54, 55 and 56."
3,"Includes North American Industry Classification System (NAICS) codes 41, 44-45, 48-49, 51, 52, 53, 54, 55 and 56."
4,"Includes North American Industry Classification System (NAICS) codes 481, 482, 483, 484, 485, 486, 487 and 488."
5,"Includes North American Industry Classification System (NAICS) codes 491, 492 and 493."
6,Includes North American Industry Classification System (NAICS) codes 52 except 521.

"How to cite: Statistics Canada. Table 27-10-0280-01 Most critical government program for the business's innovation activities, by industry and enterprise size"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2710028001
DOI: https://doi.org/10.25318/2710028001-eng
