"Produit intérieur brut, en termes de dépenses, provinciaux et territoriaux, annuel (x 1 000 000)"
"Annuelle"
"Tableau: 36-10-0222-01 (anciennement CANSIM 384-0038)"
"Géographie: Canada, Province ou territoire"

"";"Canada 1 (carte)";;;;
"";"Dollars enchaînés (2012)";;;;
"Estimations";"2015";"2016";"2017";"2018";"2019"
"";"Dollars";;;;
"Dépenses de consommation finale";"1 491 401";"1 521 490";"1 571 163";"1 612 657";"1 640 706"
"Dépenses de consommation finale des ménages";"1 075 348";"1 096 095";"1 137 411";"1 166 029";"1 184 887"
"Biens";"482 358";"491 583";"512 704";"525 728";"531 096"
"Biens durables";"137 464";"142 504";"152 813";"156 621";"156 549"
"Biens semi-durables";"79 267";"80 408";"83 794";"86 260";"88 270"
"Biens non durables";"265 734";"268 783";"276 135";"282 879";"286 349"
"Services";"593 042";"604 558";"624 848";"640 441";"653 794"
"Dépenses de consommation finale des institutions sans but lucratif au service des ménages";"27 236";"29 687";"29 798";"30 768";"31 699"
"Dépenses de consommation finale des administrations publiques";"389 072";"395 989";"404 367";"416 261";"424 474"
"Formation brute de capital fixe";"440 073";"419 594";"433 636";"441 522";"442 650"
"Formation brute de capital fixe des entreprises";"366 907";"347 250";"356 675";"361 323";"362 266"
"Bâtiments résidentiels";"133 968";"139 230";"142 485";"140 061";"139 772"
"Ouvrages non résidentiels, machines et matériel";"199 345";"174 917";"178 288";"183 786";"185 783"
"Ouvrages non résidentiels";"127 919";"112 821";"111 404";"114 419";"115 685"
"Machines et matériel";"71 218";"61 925";"66 541";"69 029";"69 721"
"Produits de propriété intellectuelle";"33 670";"33 086";"35 994";"37 879";"37 142"
"Formation brute de capital fixe des institutions sans but lucratif au service des ménages";"2 765";"2 033";"2 088";"2 087";"2 044"
"Formation brute de capital fixe des administrations publiques";"70 479";"70 377";"74 966";"78 226";"78 457"
"Investissements en stocks";"1 965";"1 186";"19 200";"15 486";"18 766"
"Dont : investissements des entreprises en stocks";"1 967";"1 098";"19 346";"15 432";"18 785"
"Non agricoles";"1 166";"508";"18 160";"15 636";"17 070"
"Agricoles";"731";"542";"1 168";"-194";"1 710"
"Exportations de biens et services";"..";"..";"..";"..";".."
"Exportations aux autres pays";"624 847";"633 637";"642 793";"666 470";"675 019"
"Exportations de biens aux autres pays";"..";"..";"..";"..";".."
"Exportations de services aux autres pays";"..";"..";"..";"..";".."
"Exportations aux autres provinces";"..";"..";"..";"..";".."
"Exportations de biens aux autres provinces";"..";"..";"..";"..";".."
"Exportations de services aux autres provinces";"..";"..";"..";"..";".."
"Moins : importations de biens et services";"..";"..";"..";"..";".."
"Importations des autres pays";"621 229";"621 544";"650 305";"672 112";"674 511"
"Importations de biens des autres pays";"..";"..";"..";"..";".."
"Importations de services des autres pays";"..";"..";"..";"..";".."
"Importations des autres provinces";"..";"..";"..";"..";".."
"Importations de biens des autres provinces";"..";"..";"..";"..";".."
"Importations de services des autres provinces";"..";"..";"..";"..";".."
"Divergence statistique";"-841";"1 275";"-764";"511";"137"
"Produit intérieur brut aux prix du marché";"1 936 100";"1 955 488";"2 014 933";"2 063 887";"2 102 304"
"Demande intérieure finale";"1 930 878";"1 939 769";"2 003 482";"2 052 682";"2 081 607"

Légende des symboles:
..;indisponible pour une période de référence précise;

Renvois :
1;"Dans les Comptes provinciaux et territoriaux du produit intérieur brut en termes de revenus et de dépenses (CEPT) les totaux pour le Canada diffèrent des estimations des Comptes nationaux du produit intérieur brut en termes de revenus et de dépenses (CRD), à certains moments de l'année. Les deux comptes sont réalignés lorsque les révisions annuelles sont incorporées."

"Comment citer le produit :Statistique Canada. Tableau 36-10-0222-01 Produit intérieur brut, en termes de dépenses, provinciaux et territoriaux, annuel (x 1 000 000)"
https://www150.statcan.gc.ca/t1/tbl1/fr/tv.action?pid=3610022201
DOI :https://doi.org/10.25318/3610022201-fra
