"Category ID","Category","Group ID","Group","Subgroup ID","Subgroup","Occupation ID","Occupation","Year","Quarter ID","Quarter","Workforce","Workforce Growth","Workforce Growth Value","percentage","lastPeriod","RCA"
1,"Funcionarios, Directores y Jefes",11,"Funcionarios y Altas Autoridades de los Sectores Público, Privado y Social",112,"Presidentes y Directores Generales","1122","Presidentes y Directores Generales en Instituciones y Empresas Privadas",2020,20204,"2020-Q4",911,1.347938144329897,523,0.007526251001710136,388,3.3566940756
1,"Funcionarios, Directores y Jefes",13,"Directores y Gerentes en Producción, Tecnología y Transporte",131,"Directores y Gerentes en Producción Agropecuaria, Industrial, Construcción y Mantenimiento","1312","Directores y Gerentes en Producción Minera, Petrolera y Gas",2020,20204,"2020-Q4",444,1.8831168831168832,290,0.0036681179415579586,154,180.8216963881
1,"Funcionarios, Directores y Jefes",15,"Coordinadores y Jefes de Área en Servicios Financieros, Administrativos y Sociales",151,"Coordinadores y Jefes de Área en Servicios Financieros y Administrativos","1511","Coordinadores y Jefes de Área en Administración, Recursos Humanos y Mercadotecnia",2020,20204,"2020-Q4",691,0.12357723577235773,76,0.005708715084721958,615,1.4140848022
1,"Funcionarios, Directores y Jefes",16,"Coordinadores y Jefes de Área en Producción y Tecnología",161,"Coordinadores y Jefes de Área en Producción Agropecuaria, Industrial, Construcción y Mantenimiento","1612","Coordinadores y Jefes de Área en Producción Minera, Petrolera y Gas",2020,20204,"2020-Q4",640,0.05785123966942149,35,0.005287377213056517,605,82.5973863099
1,"Funcionarios, Directores y Jefes",16,"Coordinadores y Jefes de Área en Producción y Tecnología",161,"Coordinadores y Jefes de Área en Producción Agropecuaria, Industrial, Construcción y Mantenimiento","1615","Coordinadores y Jefes de Área en Construcción, Reparación y Mantenimiento",2020,20204,"2020-Q4",158,-0.8349007314524556,-799,0.0013053212494733278,957,1.1623965792
1,"Funcionarios, Directores y Jefes",16,"Coordinadores y Jefes de Área en Producción y Tecnología",161,"Coordinadores y Jefes de Área en Producción Agropecuaria, Industrial, Construcción y Mantenimiento","1619","Otros Coordinadores y Jefes de Área en Producción Agropecuaria, Industrial, Construcción y Mantenimiento, no Clasificados Anteriormente",2020,20204,"2020-Q4",84,1,84,0.0006939682592136679,0,5.3505549857
2,"Profesionistas y Técnicos",21,"Especialistas en Ciencias Económico-Administrativas, Ciencias Sociales, Humanistas y en Artes",211,"Administradores y Mercadólogos","2111","Administradores y Especialistas en Recursos Humanos y Sistemas de Gestión",2020,20204,"2020-Q4",52,-0.8590785907859079,-317,0.000429599398560842,369,0.125212745
2,"Profesionistas y Técnicos",21,"Especialistas en Ciencias Económico-Administrativas, Ciencias Sociales, Humanistas y en Artes",211,"Administradores y Mercadólogos","2112","Especialistas y Consultores en Mercadotecnia, Publicidad, Comunicación y Comercio Exterior",2020,20204,"2020-Q4",102,1,102,0.0008426757433308824,0,2.4819499914
2,"Profesionistas y Técnicos",21,"Especialistas en Ciencias Económico-Administrativas, Ciencias Sociales, Humanistas y en Artes",212,"Contadores, Auditores, Especialistas en Finanzas y en Economía","2121","Contadores y Auditores",2020,20204,"2020-Q4",1044,1.1795407098121085,565,0.008625034078798444,479,0.5312732449
2,"Profesionistas y Técnicos",21,"Especialistas en Ciencias Económico-Administrativas, Ciencias Sociales, Humanistas y en Artes",212,"Contadores, Auditores, Especialistas en Finanzas y en Economía","2123","Economistas, Consultores e Investigadores en Política Económica",2020,20204,"2020-Q4",217,1,217,0.0017927513363019754,0,4.4855809779
