"Introduction de différents types d'innovation, selon l'industrie et la taille de l’entreprise" 1 2
"Occasionnelle"
"Tableau: 27-10-0361-01"
"Géographie: Canada, Région géographique du Canada, Province ou territoire"

"";"Québec";;;
"";"Total, toutes les entreprises";;;
"";"2017 - 2019";;;
"Système de classification des industries de l'Amérique du Nord (SCIAN)";"Novatrices";"Innovation de produits (de biens ou de services)";"Innovation de procédés d’entreprise";"Non novatrices"
"";"Pourcent";;;
"Total, toutes les industries sondées 4";"77,9A";"51,3A";"71,0A";"22,1A"
"Agriculture, foresterie, pêche et chasse";"67,1B";"31,7B";"61,2E";"32,9B"
"Extraction minière, exploitation en carrière, et extraction de pétrole et de gaz";"75,7B";"37,4B";"70,7B";"24,3B"
"Extraction de pétrole et de gaz";"..";"..";"..";".."
"Extraction minière et exploitation en carrière (sauf l'extraction de pétrole et de gaz)";"73,4B";"30,3B";"68,1B";"26,6B"
"Activités de soutien à l'extraction minière et à l'extraction de pétrole et de gaz";"80,2B";"50,9B";"75,7B";"19,8B"
"Services publics";"61,1B";"45,0B";"61,1B";"38,9B"
"Construction";"78,1B";"51,7E";"63,1B";"21,9B"
"Fabrication";"83,7A";"60,2A";"76,3A";"16,3A"
"Fabrication d'aliments";"90,2B";"53,2B";"79,3B";"9,8B"
"Fabrication de boissons et de produits du tabac";"85,7B";"45,7B";"76,8B";"14,3B"
"Usines de textiles, usines de produits textiles et fabrication de vêtements 5";"74,3B";"63,2B";"67,2B";"25,7B"
"Fabrication de produits en bois";"63,8B";"33,6B";"59,5B";"36,2B"
"Fabrication du papier";"82,8B";"57,6B";"80,3B";"17,2B"
"Impression et activités connexes de soutien";"85,1B";"60,4B";"72,9B";"14,9B"
"Fabrication de produits du pétrole et du charbon";"50,2E";"25,1E";"50,2E";"49,8E"
"Fabrication de produits chimiques";"84,7B";"79,0E";"75,8E";"15,3B"
"Fabrication de produits pharmaceutiques et de médicaments";"88,2E";"76,8E";"65,1E";"11,8E"
"Toute autre fabrication de produits chimiques 6";"83,6E";"79,7E";"79,4E";"16,4E"
"Fabrication de produits en plastique et en caoutchouc";"86,9B";"64,5E";"76,8B";"13,1B"
"Fabrication de produits en plastique";"86,2B";"63,0E";"78,1E";"13,8B"
"Fabrication de pièces en plastique pour véhicules automobiles";"83,7E";"50,6E";"83,7E";"16,3E"
"Toute autre fabrication de produits en plastique 7";"86,3B";"63,6E";"77,8E";"13,7B"
"Fabrication de produits en caoutchouc";"93,1B";"77,0B";"66,1E";"6,9B"
"Fabrication de produits minéraux non métalliques";"73,5B";"35,8B";"71,5B";"26,5B"
"Première transformation des métaux";"77,6B";"54,5B";"68,6B";"22,4B"
"Fabrication de produits métalliques";"80,5B";"46,9B";"79,8B";"19,5B"
"Fabrication de machines";"99,1A";"94,4B";"88,6B";"0,9A"
"Fabrication de produits informatiques et électroniques";"91,6B";"82,2B";"83,9B";"8,4B"
"Fabrication de matériel informatique et périphérique et de matériel de communication 8";"78,7E";"69,7E";"74,0E";"21,3E"
"Fabrication de semi-conducteurs et d'autres composants électroniques";"81,4E";"67,0E";"75,4E";"18,6E"
"Fabrication d'instruments de navigation, de mesure et de commande et d'instruments médicaux";"100,0A";"92,3E";"90,3E";"0,0E"
"Fabrication de matériel audio et vidéo et fabrication et reproduction de supports magnétiques et optiques 9";"x";"x";"x";"x"
"Fabrication de matériel, d'appareils et de composants électriques";"91,3B";"73,8B";"82,0B";"8,7B"
"Fabrication de matériel de transport";"81,2B";"66,2B";"68,2B";"18,8B"
"Fabrication de véhicules automobiles et de carrosseries et de remorques de véhicules automobiles 10";"78,5E";"74,4E";"57,5E";"21,5E"
"Fabrication de pièces pour véhicules automobiles";"77,5E";"55,9E";"61,2E";"22,5E"
"Fabrication de produits aérospatiaux et de leurs pièces";"97,3A";"71,8B";"89,4B";"2,7A"
"Toute autre fabrication de matériel de transport 11";"71,2E";"59,9E";"68,2E";"28,8E"
"Fabrication de meubles et de produits connexes";"84,2B";"65,3B";"73,5B";"15,8B"
"Activités diverses de fabrication";"82,0B";"60,6B";"79,9B";"18,0B"
"Fabrication de fournitures et de matériel médicaux";"96,8A";"69,0E";"88,5E";"3,2A"
"Autre fabrication diverses";"77,2B";"58,0E";"77,2B";"22,8B"
"Total, industries de services sélectionnées 12";"76,6B";"49,4B";"71,4B";"23,4B"
"Commerce de gros";"82,5A";"59,8B";"76,9B";"17,5A"
"Grossistes-marchands de produits agricoles";"93,2B";"74,1B";"70,0B";"6,8B"
"Grossistes-marchands de pétrole et de produits pétroliers";"79,7B";"39,6B";"68,6B";"20,3B"
"Grossistes-marchands de produits alimentaires, de boissons et de tabac";"87,9B";"56,1B";"82,6B";"12,1B"
"Grossistes-marchands d'articles personnels et ménagers";"87,7B";"65,4B";"78,5B";"12,3B"
"Grossistes-marchands de produits pharmaceutiques, d'articles de toilette, de cosmétiques et d'articles divers";"98,2A";"91,2B";"77,5E";"1,8A"
"Grossistes-marchands de textiles, de vêtements et de chaussures et de matériel de divertissement au foyer et d'appareils ménagers et d'accessoires de maison et d'articles personnels 13";"84,1B";"56,5E";"78,9E";"15,9B"
"Grossistes-marchands de véhicules automobiles, et de pièces et d'accessoires de véhicules automobiles";"71,1B";"45,3B";"65,8B";"28,9B"
"Grossistes-marchands de matériaux et fournitures de construction";"66,4B";"51,3B";"63,8B";"33,6B"
"Grossistes-marchands de machines, de matériel et de fournitures";"89,9B";"71,5B";"84,8B";"10,1B"
"Grossistes-marchands d'ordinateurs et de matériel de communication";"83,5E";"74,6E";"83,5E";"16,5E"
"Grossistes-marchands de machines et matériel pour l'agriculture, l'entretien des pelouses et le jardinage, de machines, matériel et fournitures industriels et pour la construction, la foresterie et l'extraction minière et d'autres machines, matériel et fournitures 14";"91,4B";"70,8E";"85,2B";"8,6B"
"Grossistes-marchands de produits divers";"79,6B";"52,8E";"77,4B";"20,4B"
"Commerce électronique de gros entre entreprises, et agents et courtiers";"85,6B";"56,8B";"82,4B";"14,4B"
"Commerce de détail";"73,9B";"40,6E";"69,2B";"26,1B"
"Transport et entreposage";"69,4B";"38,4B";"62,4B";"30,6B"
"Tous les transports 15";"69,0B";"37,4B";"61,8B";"31,0B"
"Transport aérien";"95,2A";"65,2E";"80,0B";"4,8A"
"Transport ferroviaire et par eau 16";"67,1B";"29,4B";"67,1B";"32,9B"
"Transport par camion";"75,3B";"37,7B";"70,9B";"24,7B"
"Transport en commun et transport terrestre de voyageurs";"42,2B";"25,0B";"35,4B";"57,8B"
"Transport par pipeline";"x";"x";"x";"x"
"Transport de tourisme et d'agrément et activités de soutien au transport 17";"78,4B";"47,1E";"64,4E";"21,6B"
"Services postaux, messageries et services de messagers, et entreposage 18";"74,7B";"51,8B";"69,6B";"25,3B"
"Industrie de l'information et industrie culturelle";"81,8B";"59,7B";"75,8B";"18,2B"
"Édition (sauf par Internet)";"98,1A";"83,1B";"98,1A";"1,9A"
"Éditeurs de journaux, de périodiques, de livres et de répertoires";"96,5A";"75,2E";"96,5A";"3,5A"
"Éditeurs de logiciels";"98,8A";"86,7B";"98,8A";"1,2A"
