"Produit intérieur brut, en termes de dépenses, provinciaux et territoriaux, annuel (x 1 000 000)"
"Annuelle"
"Tableau: 36-10-0222-01 (anciennement CANSIM 384-0038)"
"Géographie: Canada, Province ou territoire"

"";"Québec";;;;;;;;;;;;;;;;;;;;;;
"";"Dollars enchaînés (2012)";;;;;;;;;;;;;;;;;;;;;;
"Estimations";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019"
"";"Dollars";;;;;;;;;;;;;;;;;;;;;;
"Dépenses de consommation finale";"204 711";"208 020";"214 351";"221 710";"228 326";"236 132";"243 155";"248 092";"252 962";"259 761";"268 657";"275 973";"280 220";"289 303";"293 985";"296 814";"300 713";"305 770";"308 762";"315 815";"325 272";"333 189";"340 320"
"Dépenses de consommation finale des ménages";"138 528";"141 805";"146 694";"151 760";"155 163";"161 058";"165 642";"169 956";"174 528";"179 717";"186 990";"193 019";"194 501";"202 081";"205 824";"207 976";"212 333";"216 093";"219 546";"224 361";"232 139";"238 373";"243 340"
"Biens";"69 289";"71 264";"73 935";"76 520";"78 339";"82 157";"84 582";"85 995";"87 051";"89 420";"93 100";"96 944";"97 740";"101 071";"102 032";"101 987";"104 409";"105 881";"107 873";"110 365";"113 827";"117 013";"119 413"
"Biens durables";"15 542";"16 309";"17 516";"18 525";"19 374";"21 194";"22 140";"22 421";"22 705";"23 607";"24 749";"26 918";"26 795";"28 378";"28 435";"28 358";"28 841";"29 156";"30 023";"31 340";"33 026";"34 278";"34 814"
"Biens semi-durables";"8 774";"9 178";"9 381";"9 760";"10 187";"10 684";"11 170";"11 657";"12 145";"12 773";"13 479";"14 330";"14 560";"15 619";"15 837";"16 005";"16 482";"16 881";"17 504";"17 768";"18 320";"18 918";"19 356"
"Biens non durables";"46 923";"47 496";"48 579";"49 601";"49 893";"51 093";"51 917";"52 487";"52 664";"53 368";"55 138";"55 769";"56 472";"57 068";"57 759";"57 624";"59 086";"59 845";"60 349";"61 244";"62 441";"63 768";"65 195"
"Services";"69 257";"70 540";"72 745";"75 225";"76 801";"78 826";"80 977";"83 919";"87 500";"90 331";"93 922";"96 088";"96 774";"101 018";"103 793";"105 989";"107 925";"110 207";"111 679";"114 008";"118 306";"121 359";"123 926"
"Dépenses de consommation finale des institutions sans but lucratif au service des ménages";"3 709";"3 648";"4 137";"4 428";"4 704";"5 287";"5 221";"5 102";"5 324";"5 442";"5 276";"5 760";"5 548";"5 475";"5 807";"5 844";"5 929";"5 815";"5 925";"6 406";"6 346";"6 593";"6 770"
"Dépenses de consommation finale des administrations publiques";"62 994";"62 897";"63 736";"65 739";"68 846";"70 122";"72 652";"73 295";"73 246";"74 699";"76 425";"77 176";"80 210";"81 757";"82 355";"82 994";"82 476";"83 889";"83 374";"85 134";"86 928";"88 413";"90 394"
"Formation brute de capital fixe";"42 298";"45 325";"48 351";"50 927";"52 334";"55 549";"58 751";"64 907";"66 033";"67 588";"71 820";"73 696";"70 604";"73 918";"76 625";"79 305";"76 468";"71 666";"70 238";"69 012";"75 403";"78 434";"80 915"
"Formation brute de capital fixe des entreprises";"34 024";"36 522";"39 211";"41 623";"41 621";"44 124";"47 031";"52 223";"51 959";"53 854";"57 245";"56 960";"52 212";"55 503";"58 433";"61 840";"59 842";"55 913";"54 009";"54 397";"59 055";"60 741";"63 384"
"Bâtiments résidentiels";"13 099";"12 624";"13 049";"13 252";"15 544";"19 203";"20 868";"23 855";"23 690";"23 674";"25 041";"24 152";"23 548";"25 874";"25 910";"26 099";"24 295";"23 909";"23 837";"24 744";"26 575";"27 600";"28 623"
"Ouvrages non résidentiels, machines et matériel";"15 876";"17 868";"19 166";"20 435";"18 661";"18 298";"19 475";"21 889";"21 574";"23 279";"24 912";"25 121";"21 784";"22 402";"24 778";"28 282";"28 125";"24 343";"23 404";"22 688";"24 174";"24 519";"26 180"
"Ouvrages non résidentiels";"8 247";"9 160";"8 527";"9 559";"9 521";"9 664";"10 343";"11 337";"10 284";"10 917";"11 868";"11 790";"11 821";"11 369";"13 318";"16 329";"16 281";"14 669";"13 769";"13 605";"13 208";"13 605";"14 465"
"Machines et matériel";"7 773";"8 802";"10 036";"10 472";"9 161";"8 813";"9 348";"10 681";"11 120";"12 128";"12 837";"13 090";"10 033";"10 999";"11 455";"11 953";"11 844";"9 669";"9 620";"9 083";"10 911";"10 863";"11 659"
"Produits de propriété intellectuelle";"4 348";"4 697";"5 486";"6 202";"6 573";"6 564";"6 700";"6 556";"6 787";"6 873";"7 249";"7 611";"6 884";"7 260";"7 761";"7 459";"7 420";"7 678";"6 810";"7 041";"8 378";"8 701";"8 652"
"Formation brute de capital fixe des institutions sans but lucratif au service des ménages";"203";"193";"170";"234";"257";"314";"286";"177";"389";"388";"304";"408";"423";"468";"447";"500";"455";"471";"416";"306";"320";"338";"345"
"Formation brute de capital fixe des administrations publiques";"8 013";"8 540";"8 902";"8 967";"10 413";"11 064";"11 364";"12 426";"13 649";"13 282";"14 210";"16 314";"18 012";"17 968";"17 752";"16 965";"16 173";"15 281";"15 802";"14 319";"16 032";"17 347";"17 191"
"Investissements en stocks";"649";"381";"2 840";"3 092";"-2 026";"-1 833";"-113";"1 466";"3 268";"1 783";"1 441";"2 034";"-1 696";"168";"1 994";"1 644";"4 107";"-1 398";"373";"-936";"5 387";"3 957";"5 622"
"Dont : investissements des entreprises en stocks";"646";"388";"2 836";"3 084";"-2 027";"-1 819";"-124";"1 469";"3 266";"1 794";"1 431";"2 008";"-1 665";"127";"2 005";"1 474";"4 138";"-1 320";"327";"-1 042";"5 676";"3 970";"5 228"
"Non agricoles";"582";"358";"2 786";"3 087";"-2 094";"-1 785";"-275";"1 328";"3 188";"1 831";"1 354";"2 083";"-1 554";"90";"1 897";"1 549";"4 149";"-1 314";"245";"-1 019";"5 518";"4 002";"5 224"
"Agricoles";"72";"29";"-38";"-119";"166";"17";"250";"160";"-36";"-136";"65";"-140";"-107";"45";"105";"-75";"-14";"-6";"81";"-24";"157";"-24";"21"
"Exportations de biens et services";"125 357";"133 345";"147 924";"164 119";"160 934";"160 746";"157 201";"160 057";"163 856";"166 553";"169 634";"164 165";"157 867";"158 327";"157 799";"160 283";"161 725";"170 252";"173 765";"174 062";"176 852";"183 585";"186 674"
"Exportations aux autres pays";"76 859";"84 720";"96 323";"109 942";"104 286";"103 611";"98 408";"102 305";"105 071";"106 014";"104 991";"101 904";"93 040";"91 510";"89 491";"91 482";"92 931";"101 236";"104 214";"105 849";"107 354";"113 091";"114 311"
