NEQ,IND_FAIL,DAT_IMMAT,COD_REGIM_JURI_x,COD_INTVAL_EMPLO_QUE,DAT_CESS_PREVU,COD_STAT_IMMAT,COD_FORME_JURI,DAT_STAT_IMMAT,COD_REGIM_JURI_CONSTI,DAT_DEPO_DECLR,AN_DECL,AN_PROD,DAT_LIMIT_PROD,AN_PROD_PRE,DAT_LIMIT_PROD_PRE,DAT_MAJ_INDEX_NOM,COD_ACT_ECON_CAE,NO_ACT_ECON_ASSUJ,DESC_ACT_ECON_ASSUJ,COD_ACT_ECON_CAE2,NO_ACT_ECON_ASSUJ2,DESC_ACT_ECON_ASSUJ2,NOM_LOCLT_CONSTI,DAT_CONSTI,IND_CONVEN_UNMN_ACTNR,IND_RET_TOUT_POUVR,IND_LIMIT_RESP,DAT_DEB_RESP,DAT_FIN_RESP,OBJET_SOC,NO_MTR_VOLONT,ADR_DOMCL_ADR_DISP,ADR_DOMCL_LIGN1_ADR,ADR_DOMCL_LIGN2_ADR,ADR_DOMCL_LIGN3_ADR,ADR_DOMCL_LIGN4_ADR,COD_TYP_CHANG,COD_REGIM_JURI_y,AUTR_REGIM_JURI,NOM_LOCLT,DAT_EFCTVT_x,NO_SUF_ETAB,IND_ETAB_PRINC,IND_SALON_BRONZ,IND_VENTE_TABAC_DETL,IND_DISP_x,LIGN1_ADR_x,LIGN2_ADR_x,LIGN3_ADR_x,LIGN4_ADR_x,COD_ACT_ECON,DESC_ACT_ECON_ETAB,NO_ACT_ECON_ETAB,COD_ACT_ECON2,DESC_ACT_ECON_ETAB2,NO_ACT_ECON_ETAB2,NOM_ETAB,NEQ_ASSUJ_REL,DENOMN_SOC,COD_RELA_ASSUJ,DAT_EFCTVT_y,IND_DISP_y,LIGN1_ADR_y,LIGN2_ADR_y,LIGN3_ADR_y,LIGN4_ADR_y,NOM_ASSUJ,NOM_ASSUJ_LANG_ETRNG,STAT_NOM,TYP_NOM_ASSUJ,DAT_INIT_NOM_ASSUJ,DAT_FIN_NOM_ASSUJ
1140049603,,1994-01-28,400,A,,RO,CIE,1997-12-11,400,1996-11-12,1996,2021,2021-11-15,2020,2020-11-15,1997-12-11,2599,1,PRÉPARATION DE COMPOSANTES DE BOIS INDUSTRIEL,,,,QUÉBEC,1994-01-20,N,,,,,,,N,4  ch. Desrosiers,Dudswell (Québec),,J0B1G0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRÉPARATION DE BOIS BISHOPTON,,A,A,1994-04-18,1997-12-11
1140049603,,1994-01-28,400,A,,RO,CIE,1997-12-11,400,1996-11-12,1996,2021,2021-11-15,2020,2020-11-15,1997-12-11,2599,1,PRÉPARATION DE COMPOSANTES DE BOIS INDUSTRIEL,,,,QUÉBEC,1994-01-20,N,,,,,,,N,4  ch. Desrosiers,Dudswell (Québec),,J0B1G0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9000-2973 QUÉBEC INC.,,A,M,1994-01-20,1997-12-11
1140049603,,1994-01-28,400,A,,RO,CIE,1997-12-11,400,1996-11-12,1996,2021,2021-11-15,2020,2020-11-15,1997-12-11,2599,1,PRÉPARATION DE COMPOSANTES DE BOIS INDUSTRIEL,,,,QUÉBEC,1994-01-20,N,,,,,,,N,4  ch. Desrosiers,Dudswell (Québec),,J0B1G0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRÉPARATION DE BOIS BISHOPTON ENR.,,A,A,1994-03-23,1995-06-27
1140050551,,1994-01-31,24,O,,RO,CIE,1998-05-08,400,1996-08-29,1995,2021,2021-11-15,2020,2020-11-15,1998-05-08,6213,1,REMBOURRAGE,2592,2,ÉBÉNISTERIE,QUÉBEC,1994-01-20,N,,,,,,,N,"212, RANG X",ST-GERMAIN DE GRANTHAM (QUÉBEC),,J0C1K0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONFECTION CHEMAN,,A,A,1994-05-12,1998-05-08
1140050551,,1994-01-31,24,O,,RO,CIE,1998-05-08,400,1996-08-29,1995,2021,2021-11-15,2020,2020-11-15,1998-05-08,6213,1,REMBOURRAGE,2592,2,ÉBÉNISTERIE,QUÉBEC,1994-01-20,N,,,,,,,N,"212, RANG X",ST-GERMAIN DE GRANTHAM (QUÉBEC),,J0C1K0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9000-2908 QUÉBEC INC.,,A,M,1994-01-20,1998-05-08
1140074817,,1994-02-09,24,O,,RO,CIE,2012-11-09,400,2012-10-15,2012,2021,2021-11-15,2020,2020-11-15,1998-05-20,9999,1,SERVICE D'INSTALLATION D'ARMOIRES ET MOBILIER INTÉGRÉ,2599,2,MENUISERIE DE FINITION,QUÉBEC,1994-02-03,N,,,,,,,N,280  rue Charles-Dufrost,Lévis (Québec),,G6V8T6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HABITAT MULTI-SERVICES INC.,,A,N,1994-02-03,2012-11-09
1140074817,,1994-02-09,24,O,,RO,CIE,2012-11-09,400,2012-10-15,2012,2021,2021-11-15,2020,2020-11-15,1998-05-20,9999,1,SERVICE D'INSTALLATION D'ARMOIRES ET MOBILIER INTÉGRÉ,2599,2,MENUISERIE DE FINITION,QUÉBEC,1994-02-03,N,,,,,,,N,280  rue Charles-Dufrost,Lévis (Québec),,G6V8T6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STATION SERVICE OLCO LAC ETCHEMIN,,A,A,1995-12-14,1998-05-20
1140080129,N,1994-02-10,24,A,,IM,CIE,1999-06-29,400,2021-01-27,2020,2021,2022-05-01,2020,2021-05-01,1999-06-29,2599,1,CONSTRUCTION DE CABANONS,,,,QUÉBEC,1994-02-09,N,,,,,,,N,1448  av. Taniata,Lévis (Québec),,G6Z2L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LES CABANONS V.M. INC.,,V,N,1994-02-09,
1140089583,N,1994-02-15,24,O,,RO,CIE,2013-03-26,400,2013-02-13,2012,2021,2021-11-15,2020,2020-11-15,1994-02-11,2599,1,FABRICATION ET VENTE DE MOULES À SUCRE D'ÉRABLE,,,,QUÉBEC,1994-02-11,N,,,,,,,N,152  2e Rang O,Saint-Jean-Port-Joli (Québec),,G0R3G0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOULDART PORT-JOLY INC.,,A,N,1994-02-11,2013-03-26
1140101412,O,1994-02-18,24,O,,IM,CIE,1994-02-18,21,2010-08-25,2010,2021,2021-11-15,2020,2020-11-15,2009-12-17,2599,1,Autres industries du bois (rabotage et sciage),,,,QUÉBEC,1979-05-28,N,,,,,,,N,200-140  Grande Allée E,Québec (Québec),,G1R5P7,CONTN,400,,,1994-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,LES MOULURES HUDON & FILS INC.,,A,N,1979-05-28,2009-12-15
